,Time [s],IHV_FB_S_1,IHV_FB_S_2,IHV_FB_S_3,IHV_FB_Grid_1,IHV_FB_Grid_2,IHV_FB_Grid_3,Vrms_scan,Irms_scan,P_grid [MVA],Q_grid [MVAr],P_statcom [MVA],Q_statcom [MVAr],Vdc,V_CT_1,V_CT_2,V_CT_3,VHV_FB_1,VHV_FB_2,VHV_FB_3,Vna,Vnb,Vnc,Ina,Inb,Inc,VLN_CT_1,VLN_CT_2,VLN_CT_3,VLL_CT_1,VLL_CT_2,VLL_CT_3,I_CT_1,I_CT_2,I_CT_3,V_Reactor_1,V_Reactor_2,V_Reactor_3,I_Reactor_1,I_Reactor_2,I_Reactor_3,Freq_inj [Hz],Rqq_c [ohms],Xqq_c [ohms],Rqd_c [ohms],Xqd_c [ohms],Rdq_c [ohms],Xdq_c [ohms],Rdd_c [ohms],Xdd_c [ohms],Rqq_g [ohms],Xqq_g [ohms],Rqd_g [ohms],Xqd_g [ohms],Rdq_g [ohms],Xdq_g [ohms],Rdd_g [ohms],Xdd_g [ohms],Zqq_g,Zqd_g,Zdq_g,Zdd_g,Zpp_g,Zpn_g,Znp_g,Znn_g,Zpp_g_mag,Zpn_g_mag,Znp_g_mag,Znn_g_mag,Zqq_g_ph,Zqd_g_ph,Zdq_g_ph,Zdd_g_ph,Zqq_c,Zqd_c,Zdq_c,Zdd_c,Zpp_c,Zpn_c,Znp_c,Znn_c,Zpp_c_mag,Zpn_c_mag,Znp_c_mag,Znn_c_mag,Zqq_c_ph,Zqd_c_ph,Zdq_c_ph,Zdd_c_ph,Zqq_g_mag,Zqd_g_mag,Zdq_g_mag,Zdd_g_mag,Zqq_c_mag,Zqd_c_mag,Zdq_c_mag,Zdd_c_mag,Zqq_tot_mag,Zqd_tot_mag,Zdq_tot_mag,Zdd_tot_mag,Zqq_tot_ph,Zqd_tot_ph,Zdq_tot_ph,Zdd_tot_ph
1,7.6251,2.3704561352587,0.47870564257172,-2.8491617778307,2.3704766217662,0.47835415090047,-2.8488307726671,413.50971722433,0.0090698720296202,0.017882580462428,-6.4882475795551,-0.056081454579266,6.3651585425664,1.9831824225211,-0.84544252241927,1.390302261496,-0.54485973963587,-0.84544252241927,1.390302261496,-0.54485973963587,-42.014905268913,312.09921909344,-270.08431382452,0.012046955866312,-0.0048198775847204,-0.0072270782815818,-0.84544252241927,1.390302261496,-0.54485973963587,-2.2357447839152,1.9351620011318,0.3005827827834,2.0486507572889e-05,-0.0003514916712357,0.0003310051636684,-0.84544252241927,1.390302261496,-0.54485973963587,2.5968188888877,0.37061279208759,-2.9674316809753,2.0,0.035659227546485,-1.6977461285424,-0.027737726131175,-0.011311585586083,0.45741632967744,0.020825746066404,0.016280758332031,0.0030856961747236,-8.8054566945075e-06,0.001576527952301,0.046006623052505,0.0017162511910882,-0.039289985286143,-0.024096308130672,0.0012282495908898,0.0030942385819291,(-8.8054566945075e-06+0.001576527952301j),(0.046006623052505+0.0017162511910882j),(-0.039289985286143-0.024096308130672j),(0.0012282495908898+0.0030942385819291j),(-0.012296557593782453+0.044983687436439046j),(-0.011808555993584054-0.004117174197995052j),(0.010571500945999748+0.0025994635683669505j),(0.013516001727977747-0.04031292090220895j),0.046634080499527955,0.012505723410912543,0.010886406344360871,0.042518394776595844,90.32001351979554,2.1363961714594133,-148.47946473626064,68.34953175555286,(0.035659227546485-1.6977461285424j),(-0.027737726131175-0.011311585586083j),(0.45741632967744+0.020825746066404j),(0.016280758332031+0.0030856961747236j),(0.042038658765501495-1.0899072440881457j),(0.014446314847387495-1.0652552141316944j),(0.004932154367066498-0.6355766105854294j),(0.009901327113014498-0.6047531882795308j),1.0907176763702966,1.0653531655030797,0.6355957473661722,0.6048342376328052,-88.79674420418964,-157.81411550571872,2.606824072682864,10.731987851635429,0.0015765525428776497,0.04603862381572886,0.04609050888538358,0.0033291003979182675,1.6981205780185105,0.029955524021444673,0.4578901728087237,0.016570594821813146,1.6965442129697523,0.02063548004951547,0.418139135277058,0.01856763183718881,-88.795923463595,-27.709708242817324,-0.448155405415665,19.440863854077083
2,10.0,1.5642776569524,-2.819015583226,1.2547379262739,1.5642663469742,-2.8190169331903,1.2547505862164,409.74420955945,0.0075991894563145,0.21198979487783,-5.3916170886389,-0.17452344048682,5.3991758132466,1.7218404118113,1.1309978226522,0.13499642908646,-1.2659942524895,1.1309978226522,0.13499642908646,-1.2659942524895,337.0996109951,-141.82559759287,-195.27401340225,0.0004894385220819,-0.0099111959281557,0.0094217574060669,1.1309978226522,0.13499642908646,-1.2659942524895,0.99600139356573,1.4009906815759,-2.3969920751417,-1.1309978233094e-05,-1.3499642875788e-06,1.265994252818e-05,1.1309978226522,0.13499642908646,-1.2659942524895,1.6012824265565,-2.9765028831314,1.3752204565749,4.0,1.9424843130271,-2.4261510576102,0.002173960571477,-0.014998212735472,0.39481675624506,0.016139155774891,0.015609525578927,0.006192149131427,-0.0006588638457712,0.0044840731103997,0.047151458646098,0.0008991334579903,-0.04396185292003,-0.012436577084044,0.0018019540048826,0.0050589576476173,(-0.0006588638457712+0.0044840731103997j),(0.047151458646098+0.0008991334579903j),(-0.04396185292003-0.012436577084044j),(0.0018019540048826+0.0050589576476173j),(-0.006096310191461451+0.0503281711620725j),(-0.00699913073835375-0.0018822451316427985j),(0.00453831288769995+0.0013073605944252005j),(0.007239400350572849-0.040785140404055495j),0.050696053204064936,0.007247805035192469,0.004722867306046113,0.04142265799311284,98.35889863109145,1.0924436041933308,-164.20407068373166,70.39457037095576,(1.9424843130271-2.4261510576102j),(0.002173960571477-0.014998212735472j),(0.39481675624506+0.016139155774891j),(0.015609525578927+0.006192149131427j),(0.994615603558195-1.406300852076178j),(0.964007865243796-1.4146669617790821j),(0.9628669222043769-1.0176762449625452j),(0.9634782350478319-1.013658056402595j),1.7224814325244893,1.7118977121899428,1.4009916664407378,1.3984966802680556,-51.317684978313466,-81.75253219890185,2.3408099025034534,21.637752961538954,0.004532219459235624,0.047160030676728436,0.04568712030462982,0.0053702970789424685,3.107966257973123,0.015154949350783431,0.3951464834222839,0.016792855613772438,3.104054938126035,0.05130088710209825,0.35087443947397773,0.020730340688249072,-51.275448008420994,-15.95194913314854,0.6046210432299329,32.870100285123684
3,12.0,1.5664322856524,-2.8087812861789,1.2423490005267,1.5664209516046,-2.8087826433645,1.2423616917602,410.058844466,0.0077580750231989,0.21638846899287,-5.5088823497982,-0.19004277782913,5.437845984636,1.7393548294963,1.1334047834701,0.13571855967736,-1.2691233440511,1.1334047834701,0.13571855967736,-1.2691233440511,337.17561665559,-141.77465183645,-195.40096481917,0.0005209789941218,-0.0098918480651721,0.0093708690710458,1.1334047834701,0.13571855967736,-1.2691233440511,0.99768622379274,1.4048419037285,-2.4025281275212,-1.1334047838285e-05,-1.3571855949818e-06,1.2691233442303e-05,1.1334047834701,0.13571855967736,-1.2691233440511,1.6031596015222,-2.9656893130453,1.3625297115231,6.0,3.7795383922124,-2.6979026274915,0.030659258269152,-0.0068783990319884,0.3189401407777,-0.028600343693443,0.015001828023199,0.0084035105192414,-0.000556875735315,0.0071928561681304,0.04748902533427,7.191437019645e-05,-0.045239117392397,-0.0078883316607199,0.0023379742828214,0.0065032970875608,(-0.000556875735315+0.0071928561681304j),(0.04748902533427+7.191437019645e-05j),(-0.045239117392397-0.0078883316607199j),(0.0023379742828214+0.0065032970875608j),(-0.003089573741704975+0.0532121479911791j),(-0.005355633654329926-0.0007801744306516929j),(0.002460783636193525+0.0014697335112212953j),(0.004870672289211375-0.0395159947354879j),0.05330176507153003,0.005412160749796148,0.002866282033953516,0.039815038471462,94.42704648491318,0.08676503086665117,-170.1087982476435,70.22618466004302,(3.7795383922124-2.6979026274915j),(0.030659258269152-0.0068783990319884j),(0.3189401407777-0.028600343693443j),(0.015001828023199+0.0084035105192414j),(1.886409137787072-1.4888899997404033j),(1.8645289107318845-1.5279527685287966j),(1.9000076534573163-1.1783533694819446j),(1.9081310824485267-1.2006091172318554j),2.4031922241996257,2.410623927909503,2.2357427728980426,2.254423757900551,-35.519930126774135,-12.644920951375132,-5.124183193183445,29.256056199431207,0.007214380807802855,0.04748907978552099,0.04592171075681515,0.006910788432314435,4.64366116826293,0.03142136997105353,0.3202199135885871,0.017195168887935926,4.63903226711892,0.07844413594152262,0.27612256994179896,0.022866605717466824,-35.451619967613254,-4.9777316618454455,-7.593657245167473,40.685229885222974
4,13.9999,1.7079060320838,-3.2187947145143,1.5108886824306,1.7069379587104,-3.2182906253487,1.5113526666384,410.48186283427,0.0079083582233255,0.21400023313751,-5.6200772898573,-0.20105742321819,5.5110783734344,1.5805787500126,1.0910992787577,0.054210315239039,-1.1453095950454,1.0910992787577,0.054210315239039,-1.1453095950454,332.35906175823,-150.32035498617,-182.03870677195,0.0002023950086281,-0.0097719679505043,0.0095695729418698,1.0910992787577,0.054210315239039,-1.1453095950454,1.0368889635187,1.1995199102844,-2.2364088738031,-0.0009680733733661,0.0005040891655932,0.0004639842077827,1.0910992787577,0.054210315239039,-1.1453095950454,1.5356536371871,-2.9778250242018,1.4421713870147,8.0,4.8035192067132,-3.2672116591776,0.054715052086962,-0.0027344737143267,0.24832693608409,-0.061175556775853,0.014377033161278,0.01047503999824,0.00044066135308,0.0095647151857726,0.047350127733336,-0.0005752214436475,-0.044973306219056,-0.0052229227701584,0.0023645208877826,0.0078377630175994,(0.00044066135308+0.0095647151857726j),(0.047350127733336-0.0005752214436475j),(-0.044973306219056-0.0052229227701584j),(0.0023645208877826+0.0078377630175994j),(-0.00092125954282415+0.054862956077882004j),(-0.00386100187425425-0.0003249346730534036j),(0.0019371423395516498+0.0020518868412266016j),(0.0037264417836867497-0.03746047787451j),0.05487069043441002,0.003874650695836614,0.002821836290942924,0.037645368519299414,87.3621593303739,-0.6960095236121988,-173.37569554080795,73.21232312624589,(4.8035192067132-3.2672116591776j),(0.054715052086962-0.0027344737143267j),(0.24832693608409-0.061175556775853j),(0.014377033161278+0.01047503999824j),(2.379727578406476-1.7251742515882438j),(2.3626160715308715-1.7903643436734458j),(2.4265261020210507-1.4873223555023942j),(2.438168661468002-1.531562367591116j),2.9392736425469828,2.964348020147637,2.84607742568024,2.8792967383696273,-34.22237839659377,-2.8610693532135207,-13.839294205320618,36.07690815939876,0.009574860782959053,0.047353621572932166,0.04527556951089649,0.008186665264245819,5.809343232683765,0.05478333935945588,0.25575127747823145,0.017788354209572484,5.804334072543609,0.10211882791037354,0.21391927651641715,0.024812061306440345,-34.141863673184716,-1.8572949035224524,-18.08275648456243,47.56646315845697
5,15.9999,1.7167072174036,-3.2317569332464,1.515049715843,1.7155477087215,-3.2311519195132,1.5156042107919,410.72303319305,0.0080225566949649,0.20818577335142,-5.7047735006208,-0.20776556467814,5.5831119484896,1.5868022066658,1.0917150641413,0.054203614653301,-1.1459186799827,1.0917150641413,0.054203614653301,-1.1459186799827,332.4407848551,-150.37430038162,-182.06648447338,0.0002117998617016,-0.0098176992036195,0.0096058993419112,1.0917150641413,0.054203614653301,-1.1459186799827,1.037511449488,1.200122294636,-2.237633744124,-0.0011595086820747,0.0006050137332179,0.0005544949488678,1.0917150641413,0.054203614653301,-1.1459186799827,1.5441423960536,-2.9904586263722,1.4463162303186,10.0,5.040009474408,-3.0166761980849,0.062500377440572,0.0064094869711503,0.21045394156533,-0.094805231712887,0.014214829152117,0.01259350051026,-1.7953812307226e-05,0.01225786150133,0.048080805222608,-0.000791978838774,-0.046129651130535,-0.0040183937281157,0.0028617246588349,0.010117616846276,(-1.7953812307226e-05+0.01225786150133j),(0.048080805222608-0.000791978838774j),(-0.046129651130535-0.0040183937281157j),(0.0028617246588349+0.010117616846276j),(-0.00019132202140701316+0.058292967350374494j),(-0.003845025519015913+9.454528149050248e-05j),(0.0009653470478737868+0.002045699373563501j),(0.0030350928679346873-0.035917489002768505j),0.05829328131635499,0.003846187729705313,0.0022620302495406056,0.03604549632035858,90.08391977145956,-0.9436809859065323,-175.0214826405973,74.20667120228194,(5.040009474408-3.0166761980849j),(0.062500377440572+0.0064094869711503j),(0.21045394156533-0.094805231712887j),(0.014214829152117+0.01259350051026j),(2.47650479243804-1.5760181308496992j),(2.4686994502570734-1.651112008800531j),(2.5570951949988103-1.378157689794629j),(2.577719511122077-1.428064566724941j),2.9354572277135222,2.969957548737844,2.904832947731431,2.946863804921214,-30.902450319785345,5.855280442919356,-24.250598321031585,41.53905044217276,0.012257874649594215,0.048087327450539764,0.04630434322586845,0.01051454414946419,5.87384293169424,0.06282816807330377,0.2308222118439158,0.018990987939699035,5.867541569420371,0.11072377502959742,0.19175135298662813,0.028414847204246703,-30.79983563379779,2.9081174686073266,-31.0224442673773,53.06038997676832
6,18.0,1.5959322091554,-2.8455590232381,1.2496268140829,1.5959208368435,-2.845560388911,1.2496395520677,410.7748444042,0.0080945258617782,0.20160454140066,-5.7584424661674,-0.21177539543979,5.6405583257229,1.7631921544997,1.1372311876227,0.13656728450777,-1.2737984734506,1.1372311876227,0.13656728450777,-1.2737984734506,337.56354232014,-141.88578370194,-195.67775861809,0.0005634628012342,-0.010027549112477,0.0094640863112384,1.1372311876227,0.13656728450777,-1.2737984734506,1.000663903115,1.4103657579584,-2.4110296610733,-1.1372311872639e-05,-1.3656728468719e-06,1.2737984732712e-05,1.1372311876227,0.13656728450777,-1.2737984734506,1.6305929544995,-3.0009335890219,1.3703406345224,12.0,5.1896381914457,-3.4502946232707,0.076436320612406,0.0067591867945466,0.16370626427101,-0.10034170839134,0.013691652937936,0.014827605410319,0.0011084350219905,0.014372681488605,0.047934287023929,-0.0013517681266741,-0.045656267747741,-0.0026450571956743,0.0028280364173371,0.011568027327424,(0.0011084350219905+0.014372681488605j),(0.047934287023929-0.0013517681266741j),(-0.045656267747741-0.0026450571956743j),(0.0028280364173371+0.011568027327424j),(0.0013215911851637003+0.0597656317938495j),(-0.0028582133588475+0.0002633174424965072j),(0.0011386119635009+0.0025413367186844955j),(0.0026148802541638995-0.0338249229778205j),0.05978024211207827,0.002870316999952655,0.0027847494539296447,0.03392584579931804,85.59002353365759,-1.6153382450207638,-176.6843237769805,76.26234640634887,(5.1896381914457-3.4502946232707j),(0.076436320612406+0.0067591867945466j),(0.16370626427101-0.10034170839134j),(0.013691652937936+0.014827605410319j),(2.548114474598875-1.7613684807594925j),(2.5411820084554853-1.8526324067822173j),(2.634764530052278-1.612489821898801j),(2.655215369784761-1.674098537100888j),3.097629141887922,3.1448136407039327,3.0890301964449667,3.1389129602243764,-33.61766849499244,5.0534632251541804,-31.505694224952887,47.280946256054065,0.014415359911249665,0.04795334346592216,0.045732823138549004,0.011908696243746134,6.231924064483014,0.07673459268730169,0.19201093563769353,0.020182151579477663,6.224902419331996,0.12448810473487355,0.15665910623139168,0.031138875445663308,-33.50185510949281,2.489553356320607,-41.10143037555261,57.95963605889739
7,19.9999,1.7344924334236,-3.261014206615,1.5265217731914,1.7329500598076,-3.2602073508722,1.5272572910646,410.99574503039,0.0081478287349991,0.19494209243997,-5.7979353358867,-0.21317782422677,5.6909144167293,1.5969904418987,1.0929526571445,0.054599962225475,-1.1475526208148,1.0929526571445,0.054599962225475,-1.1475526208148,332.62125215483,-150.43438560256,-182.18686655214,0.0002211069887235,-0.0099142731585964,0.009693166169876,1.0929526571445,0.054599962225475,-1.1475526208148,1.038352694919,1.2021525830403,-2.2405052779593,-0.0015423736160161,0.0008068557428099,0.0007355178732196,1.0929526571445,0.054599962225475,-1.1475526208148,1.5604438550391,-3.0187627665115,1.4583189114723,14.0,4.97617144124,-3.4391923052235,0.079861480976263,0.0072468155083977,0.14392645538962,-0.10498189025579,0.013482195936527,0.017327456291953,0.0018117694673099,0.016253371225028,0.048002388509884,-0.001771499257321,-0.045486335493845,-0.0021340048467895,0.002739722441839,0.013433806387173,(0.0018117694673099+0.016253371225028j),(0.048002388509884-0.001771499257321j),(-0.045486335493845-0.0021340048467895j),(0.002739722441839+0.013433806387173j),(0.0020944931598402+0.061587950807965j),(-0.0024167285393198+0.00015175591090799134j),(0.0014887755647907002+0.002667808926946999j),(0.0024569987493087-0.031900773195764j),0.061623555450176136,0.0024214885275917228,0.0030551034602801863,0.03199525235627435,83.63947549525638,-2.113507121049673,-177.31392117494295,78.47303915000461,(4.97617144124-3.4391923052235j),(0.079861480976263+0.0072468155083977j),(0.14392645538962-0.10498189025579j),(0.013482195936527+0.017327456291953j),(2.43871246570617-1.742964911672452j),(2.4324770852780406-1.840153848940668j),(2.5302121600254326-1.6163659125747851j),(2.550941171470357-1.6788999372590951j),2.9975398535652573,3.0501001554332454,3.0024344019602296,3.0538509884457605,-34.6495992922867,5.184951423726688,-36.107513768984816,52.11412829367947,0.016354038791113485,0.048035065444657535,0.04553636671216473,0.01371033307787839,6.048993794419128,0.08018960330825169,0.1781460688387454,0.0219547340867624,6.041260447288004,0.12798104628428283,0.14547945624287084,0.03477651387773879,-34.51302049705439,2.451990351463839,-47.41681301688272,62.195125868743105
8,22.0,1.6133507696712,-2.8741295117252,1.2607787420542,1.6133393801764,-2.8741308823338,1.2607915021576,410.98099460065,0.0081899172769505,0.18876164787208,-5.8293987324133,-0.21263006423666,5.7334709786055,1.7699349762248,1.1389494773953,0.13706085795255,-1.2760103369118,1.1389494773953,0.13706085795255,-1.2760103369118,337.76539313666,-141.96929275404,-195.7961003825,0.0005786272155317,-0.010127870103703,0.0095492428881694,1.1389494773953,0.13706085795255,-1.2760103369118,1.0018886194428,1.4130711948643,-2.4149598143071,-1.1389494758413e-05,-1.3706085872955e-06,1.2760103361348e-05,1.1389494773953,0.13706085795255,-1.2760103369118,1.6483730958244,-3.0294897287301,1.3811166329058,16.0,5.0577958628937,-3.4113653570305,0.085953277254133,0.012242191110029,0.12283000257723,-0.12531302195741,0.013476604138038,0.019553285653831,0.0024566889394604,0.018678490089307,0.048361679322732,-0.0025277714347498,-0.045811680167706,-0.0012601049111933,0.0031927803792294,0.015299997384763,(0.0024566889394604+0.018678490089307j),(0.048361679322732-0.0025277714347498j),(-0.045811680167706-0.0012601049111933j),(0.0031927803792294+0.015299997384763j),(0.00345856792112315+0.064075923482254j),(-0.00226198389285605+0.00041424677475900007j),(0.0015258924530870497+0.0029642459297849998j),(0.0021909013975666505-0.030097436008183997j),0.06416919558611196,0.0022996024704149288,0.0033339318695250735,0.03017707247564929,82.50717913540616,-2.992016872229026,-178.42440851619526,78.21275888392253,(5.0577958628937-3.4113653570305j),(0.085953277254133+0.012242191110029j),(0.12283000257723-0.12531302195741j),(0.013476604138038+0.019553285653831j),(2.46685862698215-1.7143443983498832j),(2.4656242139541407-1.819850961257847j),(2.578695044801522-1.611067681426484j),(2.6044138400495886-1.677467673026786j),3.0040586215435083,3.0645000058130334,3.0405932329433396,3.0978814122383294,-33.998746223540714,8.106029249973222,-45.573305589355016,55.42443568570179,0.018839355417890676,0.04842769512728332,0.04582900723532423,0.015629579857556853,6.10071410491038,0.08682071822958118,0.17547239955394878,0.023747628070055676,6.0923296090616486,0.1346657993325424,0.1481640254315228,0.038634436954003336,-33.84019316575701,4.1367527456570645,-58.679958156282254,64.4394688166157
9,23.9999,1.7494770809108,-3.2841777851491,1.5347007042386,1.7475518532693,-3.2831690894831,1.5356172362141,411.14041748242,0.0082174457031651,0.18270597046835,-5.8496849894787,-0.21064497190309,5.7641366309091,1.600920989993,1.0940667375819,0.054694954852586,-1.1487616941121,1.0940667375819,0.054694954852586,-1.1487616941121,332.76312917579,-150.5207787159,-182.24235045976,0.0002325825323311,-0.0099948597551531,0.0097622772228294,1.0940667375819,0.054694954852586,-1.1487616941121,1.0393717827293,1.2034566489647,-2.242828431694,-0.0019252276413999,0.0010086956659635,0.0009165319754518,1.0940667375819,0.054694954852586,-1.1487616941121,1.5746177487476,-3.0418102273761,1.4671924786284,18.0,4.978080494822,-3.5414051035089,0.091728609034886,0.012164240700061,0.099044191149339,-0.13708448546171,0.013338742461812,0.021804023540859,0.003143140090225,0.020355370054613,0.04831583380539,-0.0029972575148492,-0.045751397960148,-0.0009178773142959,0.0031530002576078,0.017169548402896,(0.003143140090225+0.020355370054613j),(0.04831583380539-0.0029972575148492j),(-0.045751397960148-0.0009178773142959j),(0.0031530002576078+0.017169548402896j),(0.00418776027419305+0.0657960751115235j),(-0.0019624974982639497+0.0003106929032375j),(0.00195263733088115+0.0028751287484795017j),(0.0021083800736397505-0.0282711566540145j),0.06592921079609061,0.00198693898014368,0.0034755082889102664,0.028349666049016335,81.22209607144235,-3.5497767409524337,-178.850670264446,79.59419416622724,(4.978080494822-3.5414051035089j),(0.091728609034886+0.012164240700061j),(0.099044191149339-0.13708448546171j),(0.013338742461812+0.021804023540859j),(2.42108525556102-1.763458331041247j),(2.419910753799269-1.876990963616992j),(2.544830998560918-1.6862181634327669j),(2.5703339817227913-1.7561427489267938j),2.9952360674934706,3.0625256135832055,3.0527850408974313,3.1129815502516385,-35.42803650225797,7.553986913704338,-54.15171014147824,58.543539159054674,0.020596611849695457,0.048408711498245716,0.04576060438927717,0.017456654976938265,6.109241812212553,0.09253165116479868,0.1691209861452108,0.025560467386823736,6.100031157827529,0.14034414683613025,0.14793503282747542,0.04231922598510733,-35.2551309399139,3.7451055391540105,-68.88478296524438,67.06425387224051
10,25.9999,1.7552213945231,-3.2918408092635,1.5366194147404,1.7531047454995,-3.2907311964445,1.5376264509451,411.16702578193,0.0082371987995546,0.17733204871681,-5.8642070317533,-0.20785385356068,5.7875285404925,1.602867598152,1.0944990483105,0.054792219407038,-1.1492912695027,1.0944990483105,0.054792219407038,-1.1492912695027,332.83842272586,-150.55568415891,-182.28273856684,0.0002383277805538,-0.010021911154773,0.0097835833742265,1.0944990483105,0.054792219407038,-1.1492912695027,1.0397068289035,1.2040834889098,-2.2437903178132,-0.0021166490236641,0.0011096128190029,0.0010070362046777,1.0944990483105,0.054792219407038,-1.1492912695027,1.5796671230041,-3.0492553594022,1.4695882363981,20.0,4.8315128694962,-3.6557440609048,0.097030949637522,0.012000916932437,0.084921079397135,-0.13643196542077,0.013172521935546,0.024287327199582,0.0040078871802528,0.022036605461747,0.048177972929359,-0.0035471503507533,-0.045708021686746,-0.0004159592558338,0.0031889307675024,0.019034467784813,(0.0040078871802528+0.022036605461747j),(0.048177972929359-0.0035471503507533j),(-0.045708021686746-0.0004159592558338j),(0.0031889307675024+0.019034467784813j),(0.00516400452133735+0.06747853393133249j),(-0.0015720765969183498+0.0002660932171604999j),(0.0023910330096687496+0.0027360444597734988j),(0.00203281342641785-0.026407460684772503j),0.06767584121544691,0.00159443733862363,0.00363359025471817,0.026485586839721527,79.69205373301541,-4.210860019057414,-179.47860241926384,80.4893031725122,(4.8315128694962-3.6557440609048j),(0.097030949637522+0.012000916932437j),(0.084921079397135-0.13643196542077j),(0.013172521935546+0.024287327199582j),(2.34812625453927-1.8096734317324157j),(2.3469546495361606-1.9309917085695196j),(2.4713856980244935-1.7490396795348628j),(2.496559136892477-1.8217833019728027j),2.9645598048909045,3.0392310056235665,3.0276867521240414,3.090582780536421,-37.11281915979763,7.050612479767567,-58.10010286657222,61.526280721317235,0.022398105721831308,0.04830837765018505,0.04570991433615421,0.019299747233863122,6.058711186956194,0.09777027766544691,0.16070242970953702,0.02762950590658465,6.04864372070229,0.14545479491048768,0.14235525414712208,0.04630847714213934,-36.923450532164956,3.3318822508988726,-74.01062146440809,69.30982566172625
